ZIP Code,Week Number,Week Start,Week End,Cases - Weekly,Cases - Cumulative,Case Rate - Weekly,Case Rate - Cumulative,Tests - Weekly,Tests - Cumulative,Test Rate - Weekly,Test Rate - Cumulative,Percent Tested Positive - Weekly,Percent Tested Positive - Cumulative,Deaths - Weekly,Deaths - Cumulative,Death Rate - Weekly,Death Rate - Cumulative,Population,Row ID,ZIP Code Location
60601,33,08/09/2020,08/15/2020,6,127,41,865.4,301,2648,2051,18044.3,0.0,0.0,0,5,0.0,34.1,14675,60601-2020-33,POINT (-87.622844 41.886262)
60601,12,03/21/2021,03/27/2021,29,994,198,6773.4,616,23037,4198,156981.3,0.1,0.0,0,11,0.0,75.0,14675,60601-2021-12,POINT (-87.622844 41.886262)
60601,31,08/01/2021,08/07/2021,20,1148,136,7822.8,772,34386,5261,234316.9,0.0,0.0,0,12,0.0,81.8,14675,60601-2021-31,POINT (-87.622844 41.886262)
60601,33,08/15/2021,08/21/2021,19,1184,130,8068.1,1222,36457,8327,248429.3,0.0,0.0,0,12,0.0,81.8,14675,60601-2021-33,POINT (-87.622844 41.886262)
60603,39,09/26/2021,10/02/2021,0,91,0,7751.3,123,4629,10477,394293,0.0,0.0,0,0,0.0,0.0,1174,60603-2021-39,POINT (-87.625473 41.880112)
60604,33,08/15/2021,08/21/2021,3,117,384,14961.6,256,6686,32737,854987.2,0.0,0.0,0,0,0.0,0.0,782,60604-2021-33,POINT (-87.629029 41.878153)
60604,34,08/22/2021,08/28/2021,1,118,128,15089.5,304,6990,38875,893861.9,0.0,0.0,0,0,0.0,0.0,782,60604-2021-34,POINT (-87.629029 41.878153)
60604,35,08/29/2021,09/04/2021,1,119,128,15217.4,264,7254,33760,927621.5,0.0,0.0,0,0,0.0,0.0,782,60604-2021-35,POINT (-87.629029 41.878153)
60604,36,09/05/2021,09/11/2021,1,120,128,15345.3,253,7507,32353,959974.4,0.0,0.0,0,0,0.0,0.0,782,60604-2021-36,POINT (-87.629029 41.878153)
60604,37,09/12/2021,09/18/2021,0,120,0,15345.3,288,7795,36829,996803.1,0.0,0.0,0,0,0.0,0.0,782,60604-2021-37,POINT (-87.629029 41.878153)
60604,38,09/19/2021,09/25/2021,0,120,0,15345.3,159,7954,20332,1017136,0.0,0.0,0,0,0.0,0.0,782,60604-2021-38,POINT (-87.629029 41.878153)
60604,39,09/26/2021,10/02/2021,0,120,0,15345.3,167,8121,21356,1038491,0.0,0.0,0,0,0.0,0.0,782,60604-2021-39,POINT (-87.629029 41.878153)
60605,42,10/11/2020,10/17/2020,45,479,164,1740.6,968,12619,3518,45855.6,0.0,0.0,0,4,0.0,14.5,27519,60605-2020-42,POINT (-87.623449 41.867824)
60605,2,01/10/2021,01/16/2021,55,1539,200,5592.5,1146,29446,4164,107002.4,0.1,0.1,1,10,3.6,36.3,27519,60605-2021-2,POINT (-87.623449 41.867824)
60605,9,02/28/2021,03/06/2021,18,1704,65,6192.1,1001,36077,3638,131098.5,0.0,0.0,0,11,0.0,40.0,27519,60605-2021-9,POINT (-87.623449 41.867824)
60606,37,09/06/2020,09/12/2020,1,66,32,2128.3,127,2382,4096,76813.9,0.0,0.1,0,1,0.0,32.2,3101,60606-2020-37,POINT (-87.63676 41.882634)
60606,50,12/06/2020,12/12/2020,16,197,516,6352.8,186,4653,5998,150048.4,0.1,0.1,0,1,0.0,32.2,3101,60606-2020-50,POINT (-87.63676 41.882634)
60606,52,12/20/2020,12/26/2020,6,211,194,6804.3,193,5090,6224,164140.6,0.1,0.1,0,1,0.0,32.2,3101,60606-2020-52,POINT (-87.63676 41.882634)
60606,10,03/07/2021,03/13/2021,2,268,64,8642.4,236,7106,7610,229151.9,0.0,0.1,0,3,0.0,96.7,3101,60606-2021-10,POINT (-87.63676 41.882634)
60606,12,03/21/2021,03/27/2021,8,285,258,9190.6,231,7574,7449,244243.8,0.0,0.1,0,3,0.0,96.7,3101,60606-2021-12,POINT (-87.63676 41.882634)
60606,13,03/28/2021,04/03/2021,3,288,97,9287.3,229,7803,7385,251628.5,0.0,0.1,0,3,0.0,96.7,3101,60606-2021-13,POINT (-87.63676 41.882634)
60606,16,04/18/2021,04/24/2021,6,304,194,9803.3,218,8478,7030,273395.7,0.0,0.1,0,3,0.0,96.7,3101,60606-2021-16,POINT (-87.63676 41.882634)
60606,18,05/02/2021,05/08/2021,1,308,32,9932.3,222,8935,7159,288132.9,0.0,0.1,0,3,0.0,96.7,3101,60606-2021-18,POINT (-87.63676 41.882634)
60606,19,05/09/2021,05/15/2021,5,313,161,10093.5,202,9137,6514,294646.9,0.0,0.1,0,3,0.0,96.7,3101,60606-2021-19,POINT (-87.63676 41.882634)
